Year,Sport,Rank,Country,Gold,Silver,Bronze,Total
2010,Shooting,7,Japan,1,1,4,6
2010,Shooting,8,Qatar,1,1,2,4
2010,Shooting,9,Iran,0,2,1,3
2010,Shooting,9,Vietnam,0,2,1,3
2010,Soft tennis,1,South Korea,2,4,4,10
2010,Soft tennis,2,Chinese Taipei,2,2,3,7
2010,Soft tennis,3,Japan,2,1,4,7
2010,Soft tennis,4,China,1,0,3,4
2010,Softball,1,Japan,1,0,0,1
2010,Softball,2,China,0,1,0,1
2010,Softball,3,Chinese Taipei,0,0,1,1
2010,Squash,1,Malaysia,3,1,2,6
2010,Squash,2,Pakistan,1,1,0,2
2010,Squash,3,Hong Kong,0,2,2,4
2010,Squash,4,India,0,0,3,3
2010,Squash,5,South Korea,0,0,1,1
2010,Swimming,1,China,24,16,14,54
2010,Swimming,2,Japan,9,18,12,39
2010,Swimming,3,South Korea,4,3,6,13
2010,Swimming,4,Singapore,1,1,0,2
2010,Swimming,5,Kazakhstan,0,1,1,2
2010,Swimming,6,Hong Kong,0,0,2,2
2010,Swimming,7,Chinese Taipei,0,0,1,1
2010,Swimming,7,India,0,0,1,1
2010,Table tennis,1,China,7,4,0,11
2010,Table tennis,2,South Korea,0,1,4,5
2010,Table tennis,3,Hong Kong,0,1,0,1
2010,Table tennis,3,Singapore,0,1,0,1
2010,Table tennis,5,Japan,0,0,8,8
2010,Table tennis,6,North Korea,0,0,2,2
2010,Taekwondo,1,South Korea,4,4,2,10
2010,Taekwondo,10,Afghanistan,0,1,1,2
2010,Taekwondo,11,Japan,0,1,0,1
2010,Taekwondo,12,Philippines,0,0,4,4
2010,Taekwondo,13,Indonesia,0,0,1,1
2010,Taekwondo,13,Lebanon,0,0,1,1
2010,Taekwondo,2,China,4,2,4,10
2010,Taekwondo,3,Iran,3,2,4,9
2010,Taekwondo,4,Thailand,2,2,4,8
2010,Taekwondo,5,Chinese Taipei,2,0,3,5
2010,Taekwondo,6,Jordan,1,1,1,3
2010,Taekwondo,7,Vietnam,0,1,3,4
2010,Taekwondo,8,Kazakhstan,0,1,2,3
2010,Taekwondo,8,Uzbekistan,0,1,2,3
2010,Tennis,1,Chinese Taipei,3,2,1,6
2010,Tennis,2,India,2,1,2,5
2010,Tennis,3,China,2,1,1,4
2010,Tennis,4,Uzbekistan,0,3,0,3
2010,Tennis,5,Japan,0,0,6,6
2010,Tennis,6,South Korea,0,0,2,2
2010,Tennis,6,Thailand,0,0,2,2
2010,Triathlon,1,Japan,2,2,0,4
2010,Triathlon,2,Kazakhstan,0,0,1,1
2010,Triathlon,2,South Korea,0,0,1,1
2010,Volleyball,1,China,1,0,0,1
2010,Volleyball,1,Japan,1,0,0,1
2010,Volleyball,3,South Korea,0,1,1,2
2010,Volleyball,4,Iran,0,1,0,1
2010,Volleyball,5,Kazakhstan,0,0,1,1
2010,Water polo,1,China,1,1,0,2
2010,Water polo,1,Kazakhstan,1,1,0,2
2010,Water polo,3,Japan,0,0,1,1
2010,Water polo,3,Uzbekistan,0,0,1,1
2010,Weightlifting,1,China,8,2,1,11
2010,Weightlifting,2,Kazakhstan,3,2,4,9
2010,Weightlifting,3,North Korea,2,3,1,6
2010,Weightlifting,4,South Korea,1,2,2,5
2010,Weightlifting,5,Iran,1,2,1,4
2010,Weightlifting,6,Uzbekistan,0,2,0,2
2010,Weightlifting,7,Indonesia,0,1,3,4
2010,Weightlifting,8,Thailand,0,1,1,2
2010,Weightlifting,9,Chinese Taipei,0,0,2,2
2010,Wrestling,1,Iran,7,1,2,10
2010,Wrestling,10,Vietnam,0,1,0,1
2010,Wrestling,11,India,0,0,3,3
2010,Wrestling,12,Iraq,0,0,1,1
2010,Wrestling,12,Tajikistan,0,0,1,1
2010,Wrestling,2,Japan,3,3,6,12
2010,Wrestling,3,Kazakhstan,2,2,7,11
2010,Wrestling,4,Mongolia,2,2,2,6
2010,Wrestling,5,Uzbekistan,2,1,1,4
2010,Wrestling,6,North Korea,1,1,2,4
2010,Wrestling,7,Kyrgyzstan,1,1,1,3
2010,Wrestling,8,South Korea,0,3,6,9
2010,Wrestling,9,China,0,3,4,7
2010,Wushu,1,China,9,0,1,10
2010,Wushu,11,Myanmar,0,1,0,1
2010,Wushu,11,Pakistan,0,1,0,1
2010,Wushu,13,Chinese Taipei,0,0,4,4
2010,Wushu,14,Laos,0,0,2,2
2010,Wushu,15,Mongolia,0,0,1,1
2010,Wushu,15,Philippines,0,0,1,1
2010,Wushu,15,Thailand,0,0,1,1
2010,Wushu,2,Iran,3,0,3,6
2010,Wushu,3,Hong Kong,1,2,0,3
2010,Wushu,4,Macau,1,1,0,2
2010,Wushu,5,Malaysia,1,0,1,2
2010,Wushu,6,Vietnam,0,4,4,8
2010,Wushu,7,South Korea,0,2,2,4
2010,Wushu,8,Japan,0,2,1,3
2010,Wushu,9,India,0,1,1,2
2010,Wushu,9,Indonesia,0,1,1,2
2010,Xiangqi,1,China,2,1,1,4
2010,Xiangqi,2,Vietnam,0,1,0,1
2010,Xiangqi,3,Chinese Taipei,0,0,1,1
2014,Archery,1,South Korea,5,3,1,9
2014,Archery,2,China,1,2,1,4
2014,Archery,3,India,1,1,2,4
2014,Archery,4,Iran,1,0,1,2
2014,Archery,5,Chinese Taipei,0,1,1,2
2014,Archery,6,Malaysia,0,1,0,1
2014,Archery,7,Japan,0,0,1,1
2014,Archery,7,Philippines,0,0,1,1
2014,Artistic swimming,1,China,3,0,0,3
2014,Artistic swimming,2,Japan,0,3,0,3
2014,Artistic swimming,3,Kazakhstan,0,0,2,2
2014,Artistic swimming,4,North Korea,0,0,1,1
2014,Athletics,1,China,15,14,11,40
2014,Athletics,10,Iraq,1,0,1,2
2014,Athletics,11,Indonesia,1,0,0,1
2014,Athletics,11,Tajikistan,1,0,0,1
2014,Athletics,11,United Arab Emirates,1,0,0,1
2014,Athletics,14,South Korea,0,4,6,10
2014,Athletics,15,Vietnam,0,2,0,2
2014,Athletics,16,Chinese Taipei,0,1,0,1
2014,Athletics,17,Hong Kong,0,0,1,1
2014,Athletics,17,Thailand,0,0,1,1
2014,Athletics,2,Bahrain,9,6,3,18
2014,Athletics,3,Qatar,6,0,3,9
2014,Athletics,4,Japan,3,12,7,22
2014,Athletics,5,Kazakhstan,3,1,2,6
2014,Athletics,6,India,2,3,8,13
2014,Athletics,7,Uzbekistan,2,2,3,7
2014,Athletics,8,Saudi Arabia,2,1,1,4
2014,Athletics,9,Iran,1,1,0,2
2014,Badminton,1,China,4,3,2,9
2014,Badminton,2,Indonesia,2,1,1,4
2014,Badminton,3,South Korea,1,2,2,5
2014,Badminton,4,Japan,0,1,1,2
2014,Badminton,5,Malaysia,0,0,4,4
2014,Badminton,6,Chinese Taipei,0,0,2,2
2014,Badminton,7,Hong Kong,0,0,1,1
2014,Badminton,7,India,0,0,1,1
2014,Baseball,1,South Korea,1,0,0,1
2014,Baseball,2,Chinese Taipei,0,1,0,1
2014,Baseball,3,Japan,0,0,1,1
2014,Basketball,1,South Korea,2,0,0,2
2014,Basketball,2,China,0,1,0,1
2014,Basketball,2,Iran,0,1,0,1
2014,Basketball,4,Japan,0,0,2,2
2014,Beach volleyball,1,China,1,1,2,4
2014,Beach volleyball,2,Kazakhstan,1,0,0,1
2014,Beach volleyball,3,Thailand,0,1,0,1
2014,Bowling,1,South Korea,7,1,6,14
2014,Bowling,10,United Arab Emirates,0,0,1,1
2014,Bowling,2,Japan,2,1,0,3
2014,Bowling,3,Singapore,1,2,1,4
2014,Bowling,4,Thailand,1,1,1,3
2014,Bowling,5,Chinese Taipei,1,1,0,2
2014,Bowling,6,Malaysia,0,4,0,4
2014,Bowling,7,Hong Kong,0,1,1,2
2014,Bowling,8,China,0,1,0,1
2014,Bowling,9,Indonesia,0,0,2,2
2014,Boxing,1,Kazakhstan,6,2,2,10
2014,Boxing,10,Philippines,0,1,3,4
2014,Boxing,11,Jordan,0,1,2,3
2014,Boxing,12,Japan,0,0,3,3
2014,Boxing,13,Turkmenistan,0,0,2,2
2014,Boxing,13,Vietnam,0,0,2,2
2014,Boxing,15,Kyrgyzstan,0,0,1,1
2014,Boxing,15,Pakistan,0,0,1,1
2014,Boxing,2,South Korea,2,3,1,6
2014,Boxing,3,China,1,2,0,3
2014,Boxing,4,India,1,0,4,5
2014,Boxing,5,Mongolia,1,0,1,2
2014,Boxing,5,Thailand,1,0,1,2
2014,Boxing,7,North Korea,1,0,0,1
2014,Boxing,8,Uzbekistan,0,2,2,4
2014,Boxing,9,Iran,0,2,1,3
2014,Canoeing,1,China,5,4,5,14
2014,Canoeing,2,Kazakhstan,5,3,2,10
2014,Canoeing,3,Japan,3,1,3,7
2014,Canoeing,4,Uzbekistan,2,1,2,5
2014,Canoeing,5,South Korea,1,1,1,3
2014,Canoeing,6,Chinese Taipei,0,4,0,4
2014,Canoeing,7,Iran,0,2,3,5
2014,Cricket,1,Sri Lanka,1,0,1,2
2014,Cricket,2,Pakistan,1,0,0,1
2014,Cricket,3,Bangladesh,0,1,1,2
2014,Cricket,4,Afghanistan,0,1,0,1
2014,Cycling,1,China,5,6,5,16
2014,Cycling,10,Malaysia,0,1,1,2
2014,Cycling,11,Kyrgyzstan,0,1,0,1
2014,Cycling,11,Vietnam,0,1,0,1
2014,Cycling,2,South Korea,3,4,1,8
2014,Cycling,3,Japan,2,3,4,9
2014,Cycling,4,Hong Kong,2,1,3,6
2014,Cycling,5,Thailand,2,0,0,2
2014,Cycling,6,Iran,1,1,1,3
2014,Cycling,7,Chinese Taipei,1,0,3,4
2014,Cycling,8,Kazakhstan,1,0,0,1
2014,Cycling,8,Philippines,1,0,0,1
2014,Diving,1,China,10,6,0,16
2014,Diving,2,Malaysia,0,2,3,5
2014,Diving,3,South Korea,0,1,4,5
2014,Diving,4,North Korea,0,1,2,3
2014,Diving,5,Japan,0,0,1,1
2014,Equestrian,1,South Korea,4,1,1,6
2014,Equestrian,2,Saudi Arabia,1,1,0,2
2014,Equestrian,3,Qatar,1,0,0,1
2014,Equestrian,4,Japan,0,3,2,5
2014,Equestrian,5,China,0,1,0,1
2014,Equestrian,6,Chinese Taipei,0,0,1,1
2014,Equestrian,6,Hong Kong,0,0,1,1
2014,Equestrian,6,Indonesia,0,0,1,1
2014,Fencing,1,South Korea,8,6,3,17
2014,Fencing,2,China,3,4,5,12
2014,Fencing,3,Japan,1,1,3,5
2014,Fencing,4,Iran,0,1,0,1
2014,Fencing,5,Hong Kong,0,0,8,8
2014,Fencing,6,Kazakhstan,0,0,2,2
2014,Fencing,6,Vietnam,0,0,2,2
2014,Fencing,8,Singapore,0,0,1,1
2014,Field hockey,1,India,1,0,1,2
2014,Field hockey,1,South Korea,1,0,1,2
2014,Field hockey,3,China,0,1,0,1
2014,Field hockey,3,Pakistan,0,1,0,1
2014,Football,1,North Korea,1,1,0,2
2014,Football,2,South Korea,1,0,1,2
2014,Football,3,Japan,0,1,0,1
2014,Football,4,Iraq,0,0,1,1
2014,Golf,1,Chinese Taipei,2,0,1,3
2014,Golf,2,South Korea,1,3,0,4
2014,Golf,3,Thailand,1,1,2,4
2014,Golf,4,China,0,0,1,1
2014,Gymnastics,1,China,9,7,3,19
2014,Gymnastics,2,Japan,4,3,5,12
2014,Gymnastics,3,North Korea,2,1,1,4
2014,Gymnastics,4,South Korea,1,3,4,8
2014,Gymnastics,5,Uzbekistan,1,3,1,5
2014,Gymnastics,6,Hong Kong,1,0,0,1
2014,Gymnastics,7,Vietnam,0,1,3,4
2014,Gymnastics,8,Kazakhstan,0,0,1,1
2014,Handball,1,South Korea,1,1,0,2
2014,Handball,2,Qatar,1,0,0,1
2014,Handball,3,Japan,0,1,0,1
2014,Handball,4,Bahrain,0,0,1,1
2014,Handball,4,Kazakhstan,0,0,1,1
2014,Judo,1,Japan,6,4,5,15
2014,Judo,10,Thailand,0,0,1,1
2014,Judo,2,South Korea,5,2,8,15
2014,Judo,3,Mongolia,3,3,4,10
2014,Judo,4,Kazakhstan,1,2,3,6
2014,Judo,5,China,1,1,3,5
2014,Judo,6,North Korea,0,1,4,5
2014,Judo,6,Uzbekistan,0,1,4,5
2014,Judo,8,Lebanon,0,1,0,1
2014,Judo,8,Turkmenistan,0,1,0,1
2014,Kabaddi,1,India,2,0,0,2
2014,Kabaddi,2,Iran,0,2,0,2
2014,Kabaddi,3,Bangladesh,0,0,1,1
2014,Kabaddi,3,Pakistan,0,0,1,1
2014,Kabaddi,3,South Korea,0,0,1,1
2014,Kabaddi,3,Thailand,0,0,1,1
2014,Karate,1,Japan,3,1,3,7
2014,Karate,10,Hong Kong,0,1,0,1
2014,Karate,10,Indonesia,0,1,0,1
2014,Karate,10,Jordan,0,1,0,1
2014,Karate,10,Saudi Arabia,0,1,0,1
2014,Karate,14,South Korea,0,0,4,4
2014,Karate,15,Macau,0,0,2,2
2014,Karate,16,Laos,0,0,1,1
2014,Karate,16,Nepal,0,0,1,1
2014,Karate,16,Philippines,0,0,1,1
2014,Karate,16,Thailand,0,0,1,1
2014,Karate,16,United Arab Emirates,0,0,1,1
2014,Karate,2,Iran,3,0,2,5
2014,Karate,3,Kazakhstan,2,3,1,6
2014,Karate,4,Malaysia,2,0,2,4
2014,Karate,5,Chinese Taipei,2,0,1,3
2014,Karate,6,Kuwait,1,1,1,3
2014,Karate,7,China,0,2,2,4
2014,Karate,8,Uzbekistan,0,1,2,3
2014,Karate,9,Vietnam,0,1,1,2
2014,Modern pentathlon,1,China,3,0,1,4
2014,Modern pentathlon,2,South Korea,1,2,2,5
2014,Modern pentathlon,3,Japan,0,2,1,3
2014,Rowing,1,China,9,0,1,10
2014,Rowing,10,Thailand,0,0,2,2
2014,Rowing,11,Indonesia,0,0,1,1
2014,Rowing,2,South Korea,2,5,0,7
2014,Rowing,3,Hong Kong,1,4,0,5
2014,Rowing,4,Japan,1,2,0,3
2014,Rowing,5,Iran,1,0,3,4
2014,Rowing,6,Kazakhstan,0,1,2,3
2014,Rowing,6,Vietnam,0,1,2,3
2014,Rowing,8,Chinese Taipei,0,1,0,1
2014,Rowing,9,India,0,0,3,3
2014,Rugby sevens,1,Japan,1,1,0,2
2014,Rugby sevens,2,China,1,0,0,1
2014,Rugby sevens,3,Hong Kong,0,1,0,1
2014,Rugby sevens,4,Kazakhstan,0,0,1,1
2014,Rugby sevens,4,South Korea,0,0,1,1
2014,Sailing,1,South Korea,4,1,1,6
2014,Sailing,2,China,3,2,2,7
2014,Sailing,2,Singapore,3,2,2,7
2014,Sailing,4,Hong Kong,2,2,1,5
2014,Sailing,5,Thailand,1,2,6,9
2014,Sailing,6,Malaysia,1,2,0,3
2014,Sailing,7,Japan,0,3,1,4
2014,Sailing,8,India,0,0,1,1
2014,Sepak takraw,1,Thailand,4,0,0,4
2014,Sepak takraw,2,Myanmar,2,1,1,4
2014,Sepak takraw,3,South Korea,0,4,0,4
2014,Sepak takraw,4,Laos,0,1,0,1
2014,Sepak takraw,5,Indonesia,0,0,3,3
2014,Sepak takraw,6,Japan,0,0,2,2
2014,Sepak takraw,6,Malaysia,0,0,2,2
2014,Sepak takraw,6,Vietnam,0,0,2,2
2014,Sepak takraw,9,China,0,0,1,1
2014,Sepak takraw,9,Singapore,0,0,1,1
2014,Shooting,1,China,27,17,6,50
2014,Shooting,10,Vietnam,0,2,5,7
2014,Shooting,11,Malaysia,0,2,1,3
2014,Shooting,12,Japan,0,1,1,2
2014,Shooting,13,Chinese Taipei,0,1,0,1
2014,Shooting,14,Thailand,0,0,3,3
2014,Shooting,15,Singapore,0,0,2,2
2014,Shooting,16,United Arab Emirates,0,0,1,1
2014,Shooting,2,South Korea,8,11,8,27
2014,Shooting,3,Kazakhstan,2,0,5,7
2014,Shooting,4,Qatar,2,0,1,3
2014,Shooting,5,Kuwait,1,4,1,6
2014,Shooting,6,North Korea,1,3,1,5
2014,Shooting,7,Iran,1,2,0,3
2014,Shooting,8,India,1,1,7,9
2014,Shooting,9,Mongolia,1,0,2,3
2014,Soft tennis,1,South Korea,7,1,4,12
2014,Soft tennis,2,China,0,2,4,6
2014,Soft tennis,3,Japan,0,2,1,3
2014,Soft tennis,4,Chinese Taipei,0,1,4,5
2014,Soft tennis,5,Indonesia,0,1,1,2
2014,Softball,1,Japan,1,0,0,1
2014,Softball,2,Chinese Taipei,0,1,0,1
2014,Softball,3,China,0,0,1,1
2014,Squash,1,Malaysia,2,2,1,5
2014,Squash,2,India,1,2,1,4
2014,Squash,3,Kuwait,1,0,1,2
2014,Squash,4,Hong Kong,0,0,4,4
2014,Squash,5,South Korea,0,0,1,1
2014,Swimming,1,China,22,12,13,47
2014,Swimming,2,Japan,12,21,13,46
2014,Swimming,3,Kazakhstan,3,2,0,5
2014,Swimming,4,Singapore,1,2,3,6
2014,Swimming,5,South Korea,0,1,1,2
2014,Swimming,6,Hong Kong,0,0,4,4
2014,Swimming,7,Vietnam,0,0,2,2
2014,Swimming,8,India,0,0,1,1
2014,Swimming,8,Uzbekistan,0,0,1,1
2014,Table tennis,1,China,6,4,0,10
2014,Table tennis,2,North Korea,1,0,2,3
2014,Table tennis,3,Japan,0,1,3,4
2014,Table tennis,3,South Korea,0,1,3,4
2014,Table tennis,5,Hong Kong,0,1,1,2
2014,Table tennis,6,Singapore,0,0,3,3
2014,Table tennis,7,Chinese Taipei,0,0,2,2
2014,Taekwondo,1,South Korea,6,2,2,10
2014,Taekwondo,10,Philippines,0,0,5,5
2014,Taekwondo,11,Tajikistan,0,0,3,3
2014,Taekwondo,12,Macau,0,0,2,2
2014,Taekwondo,12,Vietnam,0,0,2,2
2014,Taekwondo,14,Afghanistan,0,0,1,1
2014,Taekwondo,14,Kuwait,0,0,1,1
2014,Taekwondo,14,Lebanon,0,0,1,1
2014,Taekwondo,14,Mongolia,0,0,1,1
2014,Taekwondo,2,Iran,4,2,1,7
2014,Taekwondo,3,China,2,4,3,9
2014,Taekwondo,4,Uzbekistan,1,3,0,4
2014,Taekwondo,5,Chinese Taipei,1,2,4,7
2014,Taekwondo,6,Thailand,1,1,4,6
2014,Taekwondo,7,Cambodia,1,0,0,1
2014,Taekwondo,8,Japan,0,1,1,2
2014,Taekwondo,8,Kazakhstan,0,1,1,2
2014,Tennis,1,Chinese Taipei,1,3,1,5
2014,Tennis,2,China,1,2,1,4
2014,Tennis,3,India,1,1,3,5
2014,Tennis,4,Thailand,1,1,1,3
2014,Tennis,5,Japan,1,0,6,7
2014,Tennis,6,Kazakhstan,1,0,1,2
2014,Tennis,7,South Korea,1,0,0,1
2014,Tennis,8,Uzbekistan,0,0,1,1
2014,Triathlon,1,Japan,3,2,0,5
2014,Triathlon,2,South Korea,0,1,0,1
2014,Triathlon,3,China,0,0,3,3
2014,Volleyball,1,South Korea,1,0,1,2
2014,Volleyball,2,Iran,1,0,0,1
2014,Volleyball,3,China,0,1,0,1
2014,Volleyball,3,Japan,0,1,0,1
2014,Volleyball,5,Thailand,0,0,1,1
2014,Water polo,1,China,1,0,1,2
2014,Water polo,1,Kazakhstan,1,0,1,2
2014,Water polo,3,Japan,0,2,0,2
2014,Weightlifting,1,China,7,5,2,14
2014,Weightlifting,11,Iraq,0,0,1,1
2014,Weightlifting,2,North Korea,4,3,2,9
2014,Weightlifting,3,Chinese Taipei,2,0,2,4
2014,Weightlifting,4,Kazakhstan,1,3,0,4
2014,Weightlifting,5,Iran,1,1,0,2
2014,Weightlifting,6,Indonesia,0,1,1,2
2014,Weightlifting,6,South Korea,0,1,1,2
2014,Weightlifting,8,Vietnam,0,1,0,1
2014,Weightlifting,9,Thailand,0,0,3,3
2014,Weightlifting,9,Uzbekistan,0,0,3,3
2014,Wrestling,1,Iran,6,1,5,12
2014,Wrestling,10,Kyrgyzstan,0,1,3,4
2014,Wrestling,11,Tajikistan,0,1,0,1
2014,Wrestling,12,Turkmenistan,0,0,1,1
2014,Wrestling,2,Japan,4,3,4,11
2014,Wrestling,3,South Korea,3,3,6,12
2014,Wrestling,4,Uzbekistan,3,1,3,7
2014,Wrestling,5,Kazakhstan,1,4,5,10
2014,Wrestling,6,China,1,3,5,9
2014,Wrestling,7,India,1,1,3,5
2014,Wrestling,8,North Korea,1,1,1,3
2014,Wrestling,9,Mongolia,0,1,4,5
2014,Wushu,1,China,10,1,1,12
2014,Wushu,10,Hong Kong,0,1,0,1
2014,Wushu,11,India,0,0,2,2
2014,Wushu,11,Japan,0,0,2,2
2014,Wushu,11,Turkmenistan,0,0,2,2
2014,Wushu,14,Laos,0,0,1,1
2014,Wushu,14,Pakistan,0,0,1,1
2014,Wushu,14,Singapore,0,0,1,1
2014,Wushu,2,South Korea,2,2,3,7
2014,Wushu,3,Iran,1,2,1,4
2014,Wushu,4,Vietnam,1,1,4,6
2014,Wushu,5,Indonesia,1,1,1,3
2014,Wushu,6,Macau,0,3,0,3
2014,Wushu,7,Philippines,0,2,1,3
2014,Wushu,8,Chinese Taipei,0,1,1,2
2014,Wushu,8,Kazakhstan,0,1,1,2
2018,Archery,1,South Korea,4,3,1,8
2018,Archery,2,Chinese Taipei,2,1,1,4
2018,Archery,3,China,1,0,2,3
2018,Archery,4,Japan,1,0,1,2
2018,Archery,5,India,0,2,0,2
2018,Archery,6,Indonesia,0,1,1,2
2018,Archery,7,North Korea,0,1,0,1
2018,Archery,8,Iran,0,0,1,1
2018,Archery,8,Malaysia,0,0,1,1
2018,Artistic swimming,1,China,2,0,0,2
2018,Artistic swimming,2,Japan,0,2,0,2
2018,Artistic swimming,3,Kazakhstan,0,0,1,1
2018,Artistic swimming,3,North Korea,0,0,1,1
2018,Athletics,1,China,12,13,9,34
2018,Athletics,10,South Korea,1,1,3,5
2018,Athletics,11,Kyrgyzstan,1,1,0,2
2018,Athletics,12,Thailand,0,3,2,5
2018,Athletics,13,Indonesia,0,2,1,3
2018,Athletics,14,Chinese Taipei,0,2,0,2
2018,Athletics,15,Iraq,0,1,0,1
2018,Athletics,15,Tajikistan,0,1,0,1
2018,Athletics,17,Hong Kong,0,0,1,1
2018,Athletics,17,Kuwait,0,0,1,1
2018,Athletics,17,North Korea,0,0,1,1
2018,Athletics,17,Pakistan,0,0,1,1
2018,Athletics,17,Saudi Arabia,0,0,1,1
2018,Athletics,17,Syria,0,0,1,1
2018,Athletics,2,Bahrain,10,6,6,22
2018,Athletics,3,India,8,9,3,20
2018,Athletics,4,Japan,6,2,10,18
2018,Athletics,5,Qatar,4,2,1,7
2018,Athletics,6,Iran,2,1,0,3
2018,Athletics,7,Vietnam,2,0,3,5
2018,Athletics,8,Kazakhstan,1,2,4,7
2018,Athletics,9,Uzbekistan,1,2,1,4
2018,Badminton,1,China,3,1,2,6
2018,Badminton,2,Indonesia,2,2,4,8
2018,Badminton,3,Japan,1,1,4,6
2018,Badminton,4,Chinese Taipei,1,1,2,4
2018,Badminton,5,India,0,1,1,2
2018,Badminton,6,Hong Kong,0,1,0,1
2018,Badminton,7,Thailand,0,0,1,1
2018,Baseball,1,South Korea,1,0,0,1
2018,Baseball,2,Japan,0,1,0,1
2018,Baseball,3,Chinese Taipei,0,0,1,1
2018,Basketball,1,China,4,0,0,4
2018,Basketball,2,Iran,0,1,1,2
2018,Basketball,2,Japan,0,1,1,2
2018,Basketball,2,South Korea,0,1,1,2
2018,Basketball,5,Korea,0,1,0,1
2018,Basketball,6,Thailand,0,0,1,1
2018,Beach volleyball,1,China,1,0,0,1
2018,Beach volleyball,1,Qatar,1,0,0,1
2018,Beach volleyball,3,Indonesia,0,1,2,3
2018,Beach volleyball,4,Japan,0,1,0,1
2018,Bowling,1,South Korea,2,2,2,6
2018,Bowling,2,Malaysia,2,2,0,4
2018,Bowling,3,Japan,2,0,0,2
2018,Bowling,4,Chinese Taipei,0,1,2,3
2018,Bowling,5,Hong Kong,0,1,0,1
2018,Bowling,6,Singapore,0,0,2,2
2018,Boxing,1,Uzbekistan,5,2,0,7
2018,Boxing,10,Chinese Taipei,0,0,2,2
2018,Boxing,10,Indonesia,0,0,2,2
2018,Boxing,12,Japan,0,0,1,1
2018,Boxing,12,Jordan,0,0,1,1
2018,Boxing,12,Kyrgyzstan,0,0,1,1
2018,Boxing,12,Vietnam,0,0,1,1
2018,Boxing,2,China,2,0,3,5
2018,Boxing,3,Mongolia,1,1,0,2
2018,Boxing,4,India,1,0,1,2
2018,Boxing,5,South Korea,1,0,0,1
2018,Boxing,6,North Korea,0,3,1,4
2018,Boxing,7,Kazakhstan,0,2,0,2
2018,Boxing,8,Thailand,0,1,5,6
2018,Boxing,9,Philippines,0,1,2,3
2018,Bridge,1,China,3,1,2,6
2018,Bridge,2,Chinese Taipei,1,2,1,4
2018,Bridge,3,India,1,0,2,3
2018,Bridge,4,Singapore,1,0,0,1
2018,Bridge,5,Hong Kong,0,2,2,4
2018,Bridge,6,Thailand,0,1,1,2
2018,Bridge,7,Indonesia,0,0,4,4
2018,Canoeing,1,China,10,3,0,13
2018,Canoeing,10,Thailand,0,0,2,2
2018,Canoeing,11,Singapore,0,0,1,1
2018,Canoeing,2,Kazakhstan,2,4,2,8
2018,Canoeing,3,Japan,2,1,2,5
2018,Canoeing,4,Uzbekistan,1,3,4,8
2018,Canoeing,5,South Korea,1,1,1,3
2018,Canoeing,6,Iran,0,1,2,3
2018,Canoeing,7,Chinese Taipei,0,1,1,2
2018,Canoeing,7,Indonesia,0,1,1,2
2018,Canoeing,9,Tajikistan,0,1,0,1
2018,Cycling,1,China,6,5,2,13
2018,Cycling,10,Uzbekistan,0,1,0,1
2018,Cycling,11,Philippines,0,0,1,1
2018,Cycling,2,South Korea,6,3,4,13
2018,Cycling,3,Japan,3,5,6,14
2018,Cycling,4,Hong Kong,3,4,1,8
2018,Cycling,5,Indonesia,2,1,2,5
2018,Cycling,6,Kazakhstan,2,0,3,5
2018,Cycling,7,Thailand,1,2,3,6
2018,Cycling,8,Malaysia,1,1,1,3
2018,Cycling,9,Chinese Taipei,0,2,1,3
2018,Diving,1,China,10,6,0,16
2018,Diving,2,South Korea,0,2,3,5
2018,Diving,3,Malaysia,0,1,3,4
2018,Diving,3,North Korea,0,1,3,4
2018,Diving,5,Japan,0,0,1,1
2018,Dragon boat,1,China,2,2,0,4
2018,Dragon boat,2,Chinese Taipei,2,1,0,3
2018,Dragon boat,3,Korea,1,0,2,3
2018,Dragon boat,4,Indonesia,0,2,1,3
2018,Dragon boat,5,Thailand,0,0,2,2
2018,Equestrian,1,Japan,3,1,0,4
2018,Equestrian,10,China,0,0,1,1
2018,Equestrian,2,Saudi Arabia,1,0,1,2
2018,Equestrian,3,Hong Kong,1,0,0,1
2018,Equestrian,3,Kuwait,1,0,0,1
2018,Equestrian,5,India,0,2,0,2
2018,Equestrian,6,Qatar,0,1,1,2
2018,Equestrian,6,South Korea,0,1,1,2
2018,Equestrian,8,Malaysia,0,1,0,1
2018,Equestrian,9,Thailand,0,0,2,2
2018,Fencing,1,South Korea,6,3,6,15
2018,Fencing,2,China,3,6,2,11
2018,Fencing,3,Japan,2,0,6,8
2018,Fencing,4,Kazakhstan,1,0,2,3
2018,Fencing,5,Hong Kong,0,2,6,8
2018,Fencing,6,Iran,0,1,1,2
2018,Fencing,7,Singapore,0,0,1,1
2018,Field hockey,1,Japan,2,0,0,2
2018,Field hockey,2,India,0,1,1,2
2018,Field hockey,3,Malaysia,0,1,0,1
2018,Field hockey,4,China,0,0,1,1
2018,Football,1,Japan,1,1,0,2
2018,Football,2,South Korea,1,0,1,2
2018,Football,3,China,0,1,0,1
2018,Football,4,United Arab Emirates,0,0,1,1
2018,Golf,1,Philippines,2,0,1,3
2018,Golf,2,Japan,2,0,0,2
2018,Golf,3,China,0,2,2,4
2018,Golf,4,South Korea,0,2,1,3
2018,Gymnastics,1,China,10,6,7,23
2018,Gymnastics,2,South Korea,2,1,2,5
